Component,Name,Target,Code,Params,,,,,,,,,,,,,Danger Flag,Is Restricted,Description,Note
MOBC,,,,Num Params,Param1,,Param2,,Param3,,Param4,,Param5,,Param6,,,,,
Comment,,,,,Type,Description,Type,Description,Type,Description,Type,Description,Type,Description,Type,Description,,,,
*,Cmd_EXAMPLE,OBC,,2,uint32_t,address,int32_t,time [ms],,,,,,,,,,,例,引数の説明と単位を書くこと！（例：time [ms]）
* C2A_CORE,基幹機能コマンド,,,,,,,,,,,,,,,,,,,
,Cmd_NOP,OBC,0x0000,0,,,,,,,,,,,,,,,ダミーコマンド,
,Cmd_TMGR_SET_TIME,OBC,0x0001,1,uint32_t,TI,,,,,,,,,,,,,MOBC時刻設定コマンド,
,Cmd_GENERATE_TLM,OBC,0x0002,3,uint8_t,category,uint8_t,TLM_ID,uint8_t,送出回数,,,,,,,,,TLMパケット生成,
**,BCTコマンド,,,,,,,,,,,,,,,,,,,
,Cmd_BCT_CLEAR_BLOCK,OBC,0x0003,1,uint16_t,bc_index,,,,,,,,,,,,,BLC登録解除コマンド,
,Cmd_BCT_SET_BLOCK_POSITION,OBC,0x0004,2,uint16_t,bc_index,uint8_t,cmd_index,,,,,,,,,,,BLC操作ポインタ設定コマンド,
**,GSCDコマンド,,,,,,,,,,,,,,,,,,,
,Cmd_GSCD_CLEAR_ERR_LOG,OBC,0x0005,0,,,,,,,,,,,,,,,最新のコマンド実行異常記録をクリア,
**,RTCDコマンド,,,,,,,,,,,,,,,,,,,
,Cmd_RTCD_CLEAR_ALL_REALTIME,OBC,0x0006,0,,,,,,,,,,,,,danger,,全RTC登録解除,
,Cmd_RTCD_CLEAR_ERR_LOG,OBC,0x0007,0,,,,,,,,,,,,,,,最新のコマンド実行異常記録をクリア,
**,メモリ操作コマンド,,,,,,,,,,,,,,,,,,,
,Cmd_MEM_LOAD,OBC,0x0008,2,uint32_t,開始アドレス,raw,HEXBINARY,,,,,,,,,,,開始アドレス、データを指定,第2パラメータの指定は仮設定
**,,,,,,,,,,,,,,,,,,,,
* CDH,GS用,,,,,,,,,,,,,,,,,,,
,Cmd_DI_GS_CCSDS_TX_START,OBC,0x0100,0,,,,,,,,,,,,,,,CCSDS 通信を有効に,
,Cmd_DI_GS_CCSDS_TX_STOP,OBC,0x0101,0,,,,,,,,,,,,,danger,,CCSDS通信を無効に,
**,,,,,,,,,,,,,,,,,,,,
* POWER,,,,,,,,,,,,,,,,,,,,
**,,,,,,,,,,,,,,,,,,,,
* COM,,,,,,,,,,,,,,,,,,,,
**,,,,,,,,,,,,,,,,,,,,
* MISSION,,,,,,,,,,,,,,,,,,,,
**,,,,,,,,,,,,,,,,,,,,
**,,,,,,,,,,,,,,,,,,,,
* PROP,,,,,,,,,,,,,,,,,,,,
**,,,,,,,,,,,,,,,,,,,,
* AOCS,,,,,,,,,,,,,,,,,,,,
**,,,,,,,,,,,,,,,,,,,,
* Thermal,,,,,,,,,,,,,,,,,,,,
**,,,,,,,,,,,,,,,,,,,,
* Trajectory,,,,,,,,,,,,,,,,,,,,
**,,,,,,,,,,,,,,,,,,,,
* HILS,HILS用コマンド,,,,,,,,,,,,,,,,,,,
**,,,,,,,,,,,,,,,,,,,,
* NonOrder,これ以下はコマンドIDが自動で割り振られない！,,,,,,,,,,,,,,,,,,,
**,CDH特殊コマンド,,,,,,,,,,,,,,,,,,,
*,Cmd_OBC_CHECK_SIB_VERSION,OBC,0x05ff,0,,,,,,,,,,,,,,,SIBとC2Aのバージョン整合性確認,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
