v3,Target,OBC,Local Var,,,,,,,,,,,,,,,,,
,PacketID,0xf0,uint8_t temp = 10;##int hoge = 20;,,,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,,,,
,IsRestricted,FALSE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Comment,TLM Field,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Display Info.,,,Description,Note
,Name,Var.##Type,Variable or Function Name,Field##Type,Pos. Designator,,,Conv.##Type,Poly (Σa_i * x^i),,,,,,Status,Label,Unit,Format,,
,,,,,Octet##Pos.,bit##Pos.,bit##Len.,,a0,a1,a2,a3,a4,a5,,,,,,
,PH.VER,uint16_t,,uint8_t,0,0,3,NONE,,,,,,,,,,,,
,PH.TYPE,,,uint8_t,0,3,1,NONE,,,,,,,,,,,,
,PH.SH_FLAG,,,uint8_t,0,4,1,NONE,,,,,,,,,,,,
,PH.APID,,,uint16_t,0,5,11,NONE,,,,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,uint8_t,2,0,2,NONE,,,,,,,,,,,,
,PH.SEQ_COUNT,,,uint16_t,2,2,14,NONE,,,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,uint16_t,4,0,16,NONE,,,,,,,,,,,,
,SH.VER,uint8_t,,uint8_t,6,0,8,NONE,,,,,,,,,,,,
,SH.TI,uint32_t,,uint32_t,7,0,32,NONE,,,,,,,,,,,,
,SH.TLM_ID,uint8_t,,uint8_t,11,0,8,NONE,,,,,,,,,,,,
,SH.GLOBAL_TIME,double,,double,12,0,64,NONE,,,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,uint32_t,20,0,32,NONE,,,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,uint8_t,24,0,8,NONE,,,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,uint8_t,25,0,8,NONE,,,,,,,,,,,,
,OBC.TM_MODE_TIME,uint32_t,TMGR_get_master_clock().mode_cycle,uint32_t,26,0,32,NONE,,,,,,,,,,,,
,OBC.TM_UNIXTIME_AT_TI0,double,TMGR_get_unixtime_at_ti0(),double,30,0,64,NONE,,,,,,,,,,,,
,OBC.MM_OPSMODE,uint8_t,(uint8_t)(mode_manager->current_id),uint8_t,38,0,8,STATUS,,,,,,,0=START_UP@@1=INITIAL@@2=GND_TEST@@3=WDFAR@@4=RTC_HIGH_RATE@@5=5@@6=6@@7=7@@8=8@@9=9@@10=10@@11=11@@12=12@@13=13@@14=14@@15=15@@16=MAX@@*=N/A,,,,,
,OBC.MM_STS,uint8_t,(uint8_t)( ((uint8_t)(mode_manager->stat) << 7 & 0x80) | ((uint8_t)(mode_manager->previous_id) & 0x7F) ),uint8_t,39,0,1,STATUS,,,,,,,0=FINISHED@@1=PROGRESS@@*=N/A,,,,,
,OBC.MM_OPSMODE_PREV,,,uint8_t,39,1,7,STATUS,,,,,,,0=START_UP@@1=INITIAL@@2=GND_TEST@@3=WDFAR@@4=RTC_HIGH_RATE@@5=5@@6=6@@7=7@@8=8@@9=9@@10=10@@11=11@@12=12@@13=13@@14=14@@15=15@@16=MAX@@*=N/A,,,,,
,OBC.TDSP.CURRENT_ID,uint16_t,task_dispatcher->task_list_id,uint16_t,40,0,16,NONE,,,,,,,,,,,,
,OBC.GS_CMD.COUNTER,uint32_t,PL_count_executed_nodes(&PH_gs_cmd_list),uint32_t,42,0,32,NONE,,,,,,,,,,,地上局コマンドカウンタ,
,OBC.GS_CMD.LAST_EXEC.TIME,uint32_t,(uint32_t)(gs_command_dispatcher->prev.time.total_cycle),uint32_t,46,0,32,NONE,,,,,,,,,,,最新地上局コマンド実行時刻,
,OBC.GS_CMD.LAST_EXEC.ID,uint16_t,(uint16_t)(gs_command_dispatcher->prev.code),uint16_t,50,0,16,NONE,,,,,,,,,,,最新地上局コマンドID,
,OBC.GS_CMD.LAST_EXEC.EXEC_STS,uint8_t,(uint8_t)(gs_command_dispatcher->prev.cmd_ret.exec_sts),uint8_t,52,0,8,STATUS,,,,,,,0=SUC@@ 1=LEN@@ 2=PRM@@ 3=CNT@@ 4=NDF@@ 5=RUT@@ 6=FMT@@ *=ERR,,,,最新地上局コマンド実行結果,
,OBC.GS_CMD.LAST_EXEC.ERR_CODE,uint32_t,gs_command_dispatcher->prev.cmd_ret.err_code,uint32_t,53,0,32,NONE,,,,,,,,,,,,
,OBC.GS_CMD.LAST_ERR.TIME,uint32_t,(uint32_t)(gs_command_dispatcher->prev_err.time.total_cycle),uint32_t,57,0,32,NONE,,,,,,,,,,,最新地上局コマンド実行時刻,
,OBC.GS_CMD.LAST_ERR.ID,uint16_t,(uint16_t)(gs_command_dispatcher->prev_err.code),uint16_t,61,0,16,NONE,,,,,,,,,,,最新地上局コマンドID,
